,NO,NO2,AirTemp,Press,UMR,O3,PM10
350,5.07,8.14,-1.5,950.0,61.6,62.6,13.09
351,5.56,10.9,-1.7,950.0,55.7,62.6,13.09
352,4.52,12.49,-3.0,950.0,68.4,62.6,13.09
353,4.19,12.97,-3.7,950.0,69.4,62.6,13.09
354,3.98,13.6,-4.0,951.0,65.8,62.6,13.09
355,4.44,16.88,-4.3,951.0,64.8,62.6,13.09
356,4.34,17.73,-4.6,951.0,66.9,62.6,13.09
357,3.87,8.53,-4.3,952.0,66.8,62.6,13.09
358,4.19,8.51,-4.2,952.0,70.2,62.6,13.09
359,3.0,5.42,-4.3,952.0,73.4,62.6,13.09
360,3.4,4.19,-4.2,952.0,70.8,49.79,17.71
361,3.45,2.35,-4.5,952.0,74.4,49.79,17.71
363,3.39,0.16,-4.6,952.0,71.5,49.79,17.71
364,3.62,6.5,-5.0,952.0,70.7,49.79,17.71
365,3.77,3.95,-5.0,952.0,70.5,49.79,17.71
366,3.99,7.18,-4.7,952.0,66.7,49.79,17.71
367,6.11,18.22,-4.8,953.0,70.2,49.79,17.71
368,8.35,19.6,-4.6,953.0,68.7,49.79,17.71
369,7.49,13.13,-2.7,954.0,59.2,49.79,17.71
370,7.49,9.85,-3.3,955.0,60.6,49.79,17.71
371,8.07,8.07,-2.8,955.0,58.3,49.79,17.71
372,10.58,8.95,-2.4,955.0,54.6,49.79,17.71
373,7.28,7.47,-3.5,955.0,57.4,49.79,17.71
374,7.48,7.78,-3.7,955.0,57.3,49.79,17.71
375,7.37,10.13,-2.7,956.0,53.9,49.79,17.71
376,7.77,16.02,-4.2,956.0,62.1,49.79,17.71
377,8.04,23.45,-5.1,957.0,66.9,49.79,17.71
378,8.78,32.86,-5.5,957.0,66.3,49.79,17.71
379,8.0,27.64,-5.9,958.0,67.5,49.79,17.71
380,6.7,30.46,-6.2,959.0,67.3,49.79,17.71
381,5.18,21.08,-6.3,959.0,67.1,49.79,17.71
382,4.69,14.26,-6.4,959.0,66.1,49.79,17.71
383,4.64,13.18,-6.2,959.0,65.4,49.79,17.71
384,4.6,6.16,-5.4,959.0,66.0,48.08,26.99
385,4.24,5.78,-5.2,959.0,69.5,48.08,26.99
387,3.38,0.71,-5.2,959.0,65.8,48.08,26.99
388,3.67,6.22,-5.2,959.0,67.1,48.08,26.99
389,3.39,2.87,-5.1,959.0,65.6,48.08,26.99
390,3.9,5.72,-5.0,959.0,64.9,48.08,26.99
391,5.95,12.67,-4.9,959.0,65.9,48.08,26.99
392,8.71,19.71,-4.9,960.0,66.1,48.08,26.99
393,7.4,11.53,-4.3,960.0,64.2,48.08,26.99
394,7.32,9.09,-3.0,961.0,59.6,48.08,26.99
395,6.56,5.79,-2.1,960.0,57.0,48.08,26.99
396,7.45,7.28,-1.3,960.0,52.9,48.08,26.99
397,6.47,6.98,-2.0,960.0,53.6,48.08,26.99
398,6.64,11.55,-3.3,960.0,61.4,48.08,26.99
399,5.31,11.25,-3.5,960.0,59.5,48.08,26.99
400,6.32,19.03,-3.7,960.0,61.0,48.08,26.99
401,6.54,24.98,-3.8,960.0,57.5,48.08,26.99
402,7.31,30.84,-4.3,960.0,58.5,48.08,26.99
403,4.78,20.57,-4.4,960.0,56.5,48.08,26.99
404,4.96,18.59,-4.1,960.0,55.1,48.08,26.99
405,9.74,37.12,-4.2,961.0,58.2,48.08,26.99
406,34.76,59.43,-5.1,961.0,68.1,48.08,26.99
407,19.08,55.7,-5.3,961.0,71.9,48.08,26.99
408,5.99,42.84,-5.4,961.0,71.3,43.49,31.53
409,3.69,31.51,-5.4,961.0,72.9,43.49,31.53
411,2.35,16.83,-5.2,962.0,78.8,43.49,31.53
412,2.38,15.03,-5.1,962.0,79.4,43.49,31.53
413,2.27,16.74,-5.0,962.0,81.1,43.49,31.53
414,3.34,30.52,-4.7,963.0,82.9,43.49,31.53
415,12.44,47.06,-4.3,963.0,83.0,43.49,31.53
416,10.73,43.55,-3.8,964.0,84.9,43.49,31.53
417,9.33,22.75,-1.6,965.0,75.3,43.49,31.53
418,8.02,14.42,0.2,966.0,62.8,43.49,31.53
419,6.78,10.46,2.6,965.0,48.7,43.49,31.53
420,5.91,8.89,1.8,965.0,48.2,43.49,31.53
421,5.68,9.7,1.1,965.0,50.8,43.49,31.53
422,4.94,9.12,-0.3,966.0,51.6,43.49,31.53
423,4.79,11.93,-1.3,966.0,53.2,43.49,31.53
424,5.68,21.44,-2.0,966.0,58.6,43.49,31.53
425,7.98,31.93,-2.5,966.0,59.3,43.49,31.53
426,6.06,33.29,-2.6,967.0,61.2,43.49,31.53
427,4.35,21.85,-2.3,968.0,64.2,43.49,31.53
428,4.06,15.6,-2.4,968.0,66.2,43.49,31.53
429,4.01,12.76,-2.2,968.0,65.9,43.49,31.53
430,2.92,9.07,-2.4,968.0,64.4,43.49,31.53
431,3.46,16.95,-3.0,968.0,66.4,43.49,31.53
432,2.5,19.01,-3.1,968.0,67.7,29.55,46.72
433,2.55,22.96,-3.7,968.0,71.1,29.55,46.72
435,1.88,16.15,-4.2,967.0,76.9,29.55,46.72
436,2.5,17.81,-4.1,968.0,78.8,29.55,46.72
437,2.87,25.1,-4.0,967.0,79.7,29.55,46.72
438,8.74,34.69,-3.8,967.0,81.5,29.55,46.72
439,33.05,49.06,-3.7,967.0,81.0,29.55,46.72
440,79.62,62.61,-3.1,967.0,80.5,29.55,46.72
441,98.56,70.16,-1.0,966.0,73.3,29.55,46.72
442,50.65,53.31,2.6,966.0,58.8,29.55,46.72
443,6.96,10.29,4.5,966.0,47.7,29.55,46.72
444,6.2,12.91,4.1,964.0,48.6,29.55,46.72
445,6.51,12.23,6.1,964.0,43.3,29.55,46.72
446,11.79,31.18,5.1,963.0,46.4,29.55,46.72
447,13.84,48.78,3.0,962.0,55.5,29.55,46.72
448,13.67,53.81,2.4,962.0,59.6,29.55,46.72
449,33.03,78.39,1.1,961.0,64.6,29.55,46.72
450,56.73,87.1,0.3,961.0,67.0,29.55,46.72
451,70.86,88.09,-0.2,960.0,68.8,29.55,46.72
452,104.17,85.84,-0.8,960.0,71.4,29.55,46.72
453,113.71,87.08,-0.7,959.0,70.7,29.55,46.72
454,91.91,78.61,-1.2,958.0,72.2,29.55,46.72
455,45.79,69.18,-1.0,958.0,71.0,29.55,46.72
456,16.48,56.35,-0.6,957.0,68.0,20.98,51.32
457,5.59,41.39,-0.4,957.0,67.2,20.98,51.32
459,3.87,29.84,0.1,956.0,66.2,20.98,51.32
460,3.97,27.97,0.1,955.0,67.3,20.98,51.32
461,4.27,28.38,0.2,955.0,69.2,20.98,51.32
462,5.35,40.95,0.7,954.0,68.2,20.98,51.32
463,38.06,61.86,0.8,954.0,67.2,20.98,51.32
464,52.19,70.94,0.9,954.0,67.6,20.98,51.32
